Name,Age,Position,Shots,SoT,KeyPasses,PassAccuracy,AerialsWon,Touches,Rating,TackleWon,Interception,Clearance,ShotBlocked,Fouls,PassCrossTotal,PassCrossAccurate,PassLongBallTotal,PassLongBallAccurate,PassThroughBallTotal,PassThroughBallAccurate,DribbleWon,FoulGiven,OffsideGiven,Dispossessed,Turnover,Time,Adversário,Data,Mandante,IdJogador,IdJogo,ID
Rafael,37,GK,0,0,0,71.4,0,27,6.74,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Rafael - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Alan Franco,30,DC,4,0,1,89.2,3,101,7.12,3,1,5,0,1,0,0,4,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Alan Franco - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Robert Arboleda,35,DC,0,0,0,88.5,0,93,6.68,1,0,3,1,1,0,0,9,2,0,0,0,1,1,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Robert Arboleda - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Sabino,30,DC,2,2,0,95.6,0,55,7.16,0,1,2,1,2,0,0,6,4,0,0,1,1,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Sabino - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Igor Vinícius,30,MR,2,1,2,79.6,1,71,6.74,0,0,0,0,1,8,3,5,2,0,0,1,0,0,1,1,Sao Paulo,Sport Recife,2025-03-29,True,Igor Vinícius - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Luiz Gustavo,39,MC,2,0,1,85.1,2,63,7.29,5,1,0,1,4,0,0,2,0,0,0,0,2,0,0,1,Sao Paulo,Sport Recife,2025-03-29,True,Luiz Gustavo - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Alisson,33,MC,0,0,0,88.6,0,88,6.59,1,0,0,0,2,0,0,5,4,0,0,1,4,0,1,0,Sao Paulo,Sport Recife,2025-03-29,True,Alisson - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Wendell,33,ML,0,0,0,100.0,0,32,6.33,2,0,0,0,1,4,0,2,2,0,0,0,3,0,1,2,Sao Paulo,Sport Recife,2025-03-29,True,Wendell - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Marcos Antônio,26,AMC,0,0,0,94.4,0,22,6.27,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,Sao Paulo,Sport Recife,2025-03-29,True,Marcos Antônio - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Jonathan Calleri,33,FW,2,0,1,85.7,0,15,5.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,Sao Paulo,Sport Recife,2025-03-29,True,Jonathan Calleri - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Luciano,33,FW,0,0,1,81.3,0,27,6.57,0,1,0,0,0,1,0,1,1,0,0,0,2,0,2,2,Sao Paulo,Sport Recife,2025-03-29,True,Luciano - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Ferreira,29,Sub,0,0,2,72.7,2,46,6.88,0,1,0,0,1,3,2,1,0,0,0,3,3,0,1,6,Sao Paulo,Sport Recife,2025-03-29,True,Ferreira - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
André Silva,29,Sub,1,0,0,100.0,0,6,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,André Silva - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Ryan Francisco,20,Sub,0,0,0,0.0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Ryan Francisco - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Enzo Díaz,31,Sub,0,0,2,92.0,0,40,6.77,4,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Enzo Díaz - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Lucas Ferreira,20,Sub,0,0,1,100.0,1,10,6.33,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Lucas Ferreira - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Matheus Alves,22,Sub,3,0,0,72.7,0,24,6.5,0,1,0,0,1,0,0,0,0,0,0,3,2,0,0,4,Sao Paulo,Sport Recife,2025-03-29,True,Matheus Alves - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Jandrei,34,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Jandrei - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Ruan Tressoldi,27,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Ruan Tressoldi - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Felipe Negrucci,22,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Felipe Negrucci - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Damián Bobadilla,25,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Damián Bobadilla - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Cédric Soares,35,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Cédric Soares - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Nahuel Ferraresi,28,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sao Paulo,Sport Recife,2025-03-29,True,Nahuel Ferraresi - Sao Paulo,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Caíque França,31,GK,0,0,0,63.9,1,44,7.23,0,0,1,0,0,0,0,21,8,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Caíque França - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Hereda,28,DR,2,1,0,77.8,3,40,6.93,1,0,1,0,0,0,0,2,0,0,0,1,1,0,1,2,Sport Recife,Sao Paulo,2025-03-29,False,Hereda - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
João Silva,28,DC,0,0,0,88.9,2,42,7.49,2,2,8,0,0,0,0,6,4,0,0,0,1,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,João Silva - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Chico,28,DC,1,0,0,86.8,2,54,7.16,0,1,11,1,1,0,0,5,3,0,0,0,0,0,0,1,Sport Recife,Sao Paulo,2025-03-29,False,Chico - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Igor Cariús,33,DL,0,0,0,75.0,1,41,6.61,1,0,6,0,1,0,0,3,0,0,0,0,1,0,0,1,Sport Recife,Sao Paulo,2025-03-29,False,Igor Cariús - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Lucas Lima,36,MR,1,0,0,84.2,0,32,6.06,0,1,0,0,3,1,0,8,6,0,0,0,3,0,0,4,Sport Recife,Sao Paulo,2025-03-29,False,Lucas Lima - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Sérgio Oliveira,34,MC,3,0,2,84.6,1,52,6.91,2,0,0,0,4,1,0,3,3,1,1,1,1,0,1,0,Sport Recife,Sao Paulo,2025-03-29,False,Sérgio Oliveira - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Du Queiroz,27,MC,0,0,1,76.2,0,27,5.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,Sport Recife,Sao Paulo,2025-03-29,False,Du Queiroz - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Christian Rivera,31,MC,0,0,0,87.8,0,51,6.36,2,0,0,1,5,0,0,2,1,0,0,0,1,0,0,1,Sport Recife,Sao Paulo,2025-03-29,False,Christian Rivera - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Lenny Lobato,26,ML,1,0,0,57.1,0,15,6.24,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,1,Sport Recife,Sao Paulo,2025-03-29,False,Lenny Lobato - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Pablo,34,FW,0,0,0,64.3,5,27,6.67,2,0,1,0,1,0,0,0,0,0,0,0,3,2,1,2,Sport Recife,Sao Paulo,2025-03-29,False,Pablo - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Lucas Cunha,30,Sub,0,0,0,100.0,1,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Lucas Cunha - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Carlos Alberto,24,Sub,0,0,0,40.0,1,12,6.24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,Sport Recife,Sao Paulo,2025-03-29,False,Carlos Alberto - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Matheus Alexandre,27,Sub,0,0,0,33.3,1,7,6.02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Sport Recife,Sao Paulo,2025-03-29,False,Matheus Alexandre - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Chrystian Barletta,25,Sub,0,0,0,66.7,0,12,6.41,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Chrystian Barletta - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Fabricio Domínguez,28,Sub,0,0,0,25.0,0,7,6.06,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Fabricio Domínguez - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Arthur Sousa,24,Sub,0,0,0,80.0,1,12,6.05,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,Sport Recife,Sao Paulo,2025-03-29,False,Arthur Sousa - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Antônio Carlos,34,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Antônio Carlos - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Hyoran,33,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Hyoran - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Romarinho,33,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Romarinho - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Gustavo Maia,26,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Gustavo Maia - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Thiago Couto,28,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Thiago Couto - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Davi,22,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Recife,Sao Paulo,2025-03-29,False,Davi - Sport Recife,Sao Paulo x Sport Recife,Sao Paulo x Sport Recife2025
Cássio,39,GK,0,0,0,69.6,0,29,7.66,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Cássio - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
William,32,DR,2,0,2,81.6,1,69,8.15,4,2,2,0,1,4,2,9,5,0,0,1,1,0,2,1,Cruzeiro,Mirassol,2025-03-29,True,William - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Fabrício Bruno,31,DC,0,0,0,81.4,1,59,6.98,1,1,10,3,2,0,0,4,1,0,0,0,1,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Fabrício Bruno - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Mateo Gamarra,26,DC,0,0,0,69.6,2,79,7.31,3,4,13,1,2,0,0,16,4,0,0,1,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Mateo Gamarra - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Kaiki,24,DL,0,0,0,70.0,1,60,6.83,2,2,2,0,1,1,0,1,0,0,0,1,3,0,0,1,Cruzeiro,Mirassol,2025-03-29,True,Kaiki - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Matheus Henrique,29,DMC,0,0,1,84.2,1,48,6.34,0,2,1,0,3,0,0,3,3,0,0,0,0,0,1,0,Cruzeiro,Mirassol,2025-03-29,True,Matheus Henrique - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Walace,32,DMC,0,0,0,88.2,0,20,5.93,0,1,0,0,2,0,0,2,1,0,0,0,0,0,1,1,Cruzeiro,Mirassol,2025-03-29,True,Walace - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Wanderson,32,AMC,0,0,3,81.3,0,27,6.75,0,0,0,1,0,3,2,1,0,1,0,1,1,0,0,2,Cruzeiro,Mirassol,2025-03-29,True,Wanderson - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Dudu,35,AMC,1,1,0,76.2,0,41,6.89,1,0,0,0,2,0,0,1,1,0,0,0,4,0,3,6,Cruzeiro,Mirassol,2025-03-29,True,Dudu - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Kaio Jorge,25,FW,3,0,0,71.4,3,24,6.75,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,Cruzeiro,Mirassol,2025-03-29,True,Kaio Jorge - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Gabriel Barbosa,30,FW,2,1,1,80.0,0,18,7.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Cruzeiro,Mirassol,2025-03-29,True,Gabriel Barbosa - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Lucas Romero,32,Sub,0,0,0,82.8,1,40,6.56,2,2,2,0,2,0,0,3,1,0,0,0,1,0,1,0,Cruzeiro,Mirassol,2025-03-29,True,Lucas Romero - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
