minuto,time,jogador,Resultado,Data,IdJogo,IdJogador,Gols,Own Goal,Assistência,Yellow Card,Red Card,Mandante,SofreuGol,Jogo
46,Sao Paulo,Sabino,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Sabino - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
46,Sao Paulo,Ferreira,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Ferreira - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
46,Sao Paulo,Wendell,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Wendell - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
46,Sao Paulo,Enzo Díaz,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Enzo Díaz - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
59,Sport Recife,Lucas Lima,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Lucas Lima - Sport Recife,0,0,0,1,0,False,0,Sao Paulo x Sport Recife
62,Sport Recife,Lenny Lobato,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Lenny Lobato - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
62,Sport Recife,Carlos Alberto,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Carlos Alberto - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
62,Sport Recife,Pablo,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Pablo - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
62,Sport Recife,Arthur Sousa,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Arthur Sousa - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
69,Sao Paulo,Luciano,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Luciano - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
69,Sao Paulo,Lucas Ferreira,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Lucas Ferreira - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
69,Sao Paulo,Marcos Antônio,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Marcos Antônio - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
69,Sao Paulo,Matheus Alves,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Matheus Alves - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
75,Sao Paulo,Jonathan Calleri,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Jonathan Calleri - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
75,Sao Paulo,André Silva,0-0,2025-03-29,Sao Paulo x Sport Recife2025,André Silva - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
75,Sport Recife,Lucas Lima,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Lucas Lima - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
75,Sport Recife,Chrystian Barletta,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Chrystian Barletta - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
75,Sport Recife,Du Queiroz,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Du Queiroz - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
75,Sport Recife,Fabricio Domínguez,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Fabricio Domínguez - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
82,Sport Recife,Hereda,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Hereda - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
82,Sport Recife,Matheus Alexandre,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Matheus Alexandre - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
90+2,Sport Recife,Matheus Alexandre,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Matheus Alexandre - Sport Recife,0,0,0,1,0,False,0,Sao Paulo x Sport Recife
90+8,Sao Paulo,Alisson,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Alisson - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
90+8,Sao Paulo,Ryan Francisco,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Ryan Francisco - Sao Paulo,0,0,0,0,0,True,0,Sao Paulo x Sport Recife
90+10,Sport Recife,Igor Cariús,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Igor Cariús - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
90+10,Sport Recife,Lucas Cunha,0-0,2025-03-29,Sao Paulo x Sport Recife2025,Lucas Cunha - Sport Recife,0,0,0,0,0,False,0,Sao Paulo x Sport Recife
11,Mirassol,Jemmes,2-1,2025-03-29,Cruzeiro x Mirassol2025,Jemmes - Mirassol,0,0,0,1,0,False,1,Cruzeiro x Mirassol
14,Cruzeiro,William,2-1,2025-03-29,Cruzeiro x Mirassol2025,William - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
14,Cruzeiro,Dudu,2-1,2025-03-29,Cruzeiro x Mirassol2025,Dudu - Cruzeiro,1,0,1,0,0,True,1,Cruzeiro x Mirassol
22,Cruzeiro,William,2-1,2025-03-29,Cruzeiro x Mirassol2025,William - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
22,Cruzeiro,Gabriel Barbosa,2-1,2025-03-29,Cruzeiro x Mirassol2025,Gabriel Barbosa - Cruzeiro,1,0,1,0,0,True,1,Cruzeiro x Mirassol
30,Cruzeiro,Matheus Henrique,2-1,2025-03-29,Cruzeiro x Mirassol2025,Matheus Henrique - Cruzeiro,0,0,0,1,0,True,1,Cruzeiro x Mirassol
33,Cruzeiro,Walace,2-1,2025-03-29,Cruzeiro x Mirassol2025,Walace - Cruzeiro,0,0,0,1,0,True,1,Cruzeiro x Mirassol
45+2,Mirassol,Clayson,2-1,2025-03-29,Cruzeiro x Mirassol2025,Clayson - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
45+2,Mirassol,Lucas Ramon,2-1,2025-03-29,Cruzeiro x Mirassol2025,Lucas Ramon - Mirassol,1,0,0,0,0,False,1,Cruzeiro x Mirassol
46,Cruzeiro,Walace,2-1,2025-03-29,Cruzeiro x Mirassol2025,Walace - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
46,Cruzeiro,Lucas Romero,2-1,2025-03-29,Cruzeiro x Mirassol2025,Lucas Romero - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
49,Cruzeiro,Lucas Romero,2-1,2025-03-29,Cruzeiro x Mirassol2025,Lucas Romero - Cruzeiro,0,0,0,1,0,True,1,Cruzeiro x Mirassol
59,Mirassol,Everton Maceió,2-1,2025-03-29,Cruzeiro x Mirassol2025,Everton Maceió - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
59,Mirassol,Edson Carioca,2-1,2025-03-29,Cruzeiro x Mirassol2025,Edson Carioca - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
63,Mirassol,Reinaldo,2-1,2025-03-29,Cruzeiro x Mirassol2025,Reinaldo - Mirassol,0,0,0,1,0,False,1,Cruzeiro x Mirassol
70,Cruzeiro,Kaio Jorge,2-1,2025-03-29,Cruzeiro x Mirassol2025,Kaio Jorge - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
70,Cruzeiro,Matheus Pereira,2-1,2025-03-29,Cruzeiro x Mirassol2025,Matheus Pereira - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
71,Mirassol,Neto Moura,2-1,2025-03-29,Cruzeiro x Mirassol2025,Neto Moura - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
71,Mirassol,José Aldo,2-1,2025-03-29,Cruzeiro x Mirassol2025,José Aldo - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
71,Mirassol,Iury Castilho,2-1,2025-03-29,Cruzeiro x Mirassol2025,Iury Castilho - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
71,Mirassol,Fabrício Daniel,2-1,2025-03-29,Cruzeiro x Mirassol2025,Fabrício Daniel - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
72,Cruzeiro,Wanderson,2-1,2025-03-29,Cruzeiro x Mirassol2025,Wanderson - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
72,Cruzeiro,Lucas Silva,2-1,2025-03-29,Cruzeiro x Mirassol2025,Lucas Silva - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
77,Mirassol,Chico,2-1,2025-03-29,Cruzeiro x Mirassol2025,Chico - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
77,Mirassol,Matheus Davó,2-1,2025-03-29,Cruzeiro x Mirassol2025,Matheus Davó - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
77,Mirassol,Clayson,2-1,2025-03-29,Cruzeiro x Mirassol2025,Clayson - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
77,Mirassol,Luiz Filipe,2-1,2025-03-29,Cruzeiro x Mirassol2025,Luiz Filipe - Mirassol,0,0,0,0,0,False,1,Cruzeiro x Mirassol
