Name,Age,Position,Shots,SoT,KeyPasses,PassAccuracy,AerialsWon,Touches,Rating,TackleWon,Interception,Clearance,ShotBlocked,Fouls,PassCrossTotal,PassCrossAccurate,PassLongBallTotal,PassLongBallAccurate,PassThroughBallTotal,PassThroughBallAccurate,DribbleWon,FoulGiven,OffsideGiven,Dispossessed,Turnover,Time,Adversário,Data,Mandante
Matheus Donelli,24,GK,0	,0	,0	,65.2	,0	,37	,7.51,0	,0	,1	,0	,0	,0	,0	,11	,4	,0	,0	,0	,1	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Matheus França,26,DR,0	,0	,0	,82.6	,0	,63	,6.70,1	,1	,0	,0	,1	,1	,0	,1	,1	,0	,0	,1	,1	,0	,1	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
André Ramalho,35,DC,1	,0	,1	,95.3	,1	,75	,7.27,2	,0	,6	,0	,0	,0	,0	,6	,4	,0	,0	,0	,1	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Félix Torres,30,DC,1	,0	,0	,90.2	,0	,60	,7.02,1	,1	,5	,0	,0	,0	,0	,6	,4	,0	,0	,0	,0	,0	,0	,1	,Corinthians,Vasco da Gama,05-Apr-25,True
Matheus Bidu,27,DL,0	,0	,1	,94.4	,0	,58	,6.89,2	,1	,1	,0	,2	,1	,1	,1	,1	,0	,0	,0	,0	,0	,0	,4	,Corinthians,Vasco da Gama,05-Apr-25,True
Raniele,30,MC,0	,0	,0	,88.9	,1	,33	,6.63,1	,0	,1	,1	,2	,0	,0	,1	,1	,0	,0	,0	,1	,0	,1	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Breno Bidon,22,MC,0	,0	,0	,93	,1	,72	,7.26,2	,1	,1	,0	,3	,0	,0	,4	,4	,0	,0	,1	,4	,0	,0	,1	,Corinthians,Vasco da Gama,05-Apr-25,True
André Carrillo,35,MC,0	,0	,0	,94.7	,0	,44	,6.77,0	,3	,0	,0	,3	,1	,1	,4	,3	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Igor Coronado,34,AMC,1	,0	,0	,87.5	,0	,66	,6.43,2	,0	,0	,0	,0	,3	,0	,2	,1	,0	,0	,0	,1	,0	,3	,2	,Corinthians,Vasco da Gama,05-Apr-25,True
Yuri Alberto,26,FW,1	,1	,1	,83.3	,0	,21	,7.83,0	,0	,0	,0	,1	,0	,0	,0	,0	,0	,0	,0	,1	,1	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Memphis Depay,33,FW,2	,2	,2	,83.3	,0	,41	,8.01,0	,0	,0	,0	,1	,1	,0	,1	,1	,1	,0	,0	,3	,0	,1	,6	,Corinthians,Vasco da Gama,05-Apr-25,True
Maycon,29,Sub,0	,0	,0	,94.1	,0	,17	,6.17,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Ángel Romero,34,Sub,0	,0	,1	,50	,0	,8	,6.26,0	,0	,0	,0	,1	,2	,1	,0	,0	,0	,0	,0	,0	,0	,1	,1	,Corinthians,Vasco da Gama,05-Apr-25,True
Héctor Hernández,31,Sub,0	,0	,0	,75	,0	,4	,6.14,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
José Martínez,32,Sub,0	,0	,0	,90	,0	,28	,5.97,0	,0	,1	,0	,4	,1	,0	,1	,1	,0	,0	,0	,2	,0	,0	,2	,Corinthians,Vasco da Gama,05-Apr-25,True
Alex Santana,31,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Charles,30,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Cacá,27,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Talles Magno,24,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Hugo,29,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Léo Mana,23,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Felipe Longo,22,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
João Pedro,23,Sub,0	,0	,0	,0	,0	,0	,-,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,Corinthians,Vasco da Gama,05-Apr-25,True
Léo Jardim,32,GK,0	,0	,0	,82.4	,0	,20	,5.45,0	,0	,1	,0	,0	,0	,0	,5	,2	,0	,0	,0	,0	,0	,0	,0	,Vasco da Gama,Corinthians,05-Apr-25,False
José Rodríguez,30,DR,1	,0	,1	,80	,3	,67	,6.32,2	,0	,2	,0	,1	,6	,1	,7	,1	,0	,0	,0	,1	,0	,0	,1	,Vasco da Gama,Corinthians,05-Apr-25,False
Lucas Freitas,26,DC,0	,0	,0	,94.1	,1	,43	,6.08,1	,1	,3	,1	,0	,0	,0	,4	,3	,0	,0	,0	,0	,0	,0	,0	,Vasco da Gama,Corinthians,05-Apr-25,False
João Victor,28,DC,2	,1	,0	,81	,1	,56	,5.57,2	,1	,2	,0	,1	,0	,0	,5	,1	,0	,0	,0	,1	,0	,0	,0	,Vasco da Gama,Corinthians,05-Apr-25,False
Lucas Piton,26,DL,1	,0	,0	,86.3	,1	,69	,6.25,2	,0	,1	,0	,1	,3	,0	,4	,1	,0	,0	,2	,2	,0	,0	,0	,Vasco da Gama,Corinthians,05-Apr-25,False
Jair,32,DMC,0	,0	,1	,96.8	,0	,39	,6.45,3	,1	,0	,0	,3	,0	,0	,1	,1	,0	,0	,1	,3	,0	,0	,0	,Vasco da Gama,Corinthians,05-Apr-25,False
Mateus Carvalho,25,DMC,0	,0	,0	,93.8	,0	,58	,6.59,3	,4	,0	,0	,3	,0	,0	,1	,0	,0	,0	,1	,0	,0	,1	,1	,Vasco da Gama,Corinthians,05-Apr-25,False
Tchê Tchê,34,AMR,1	,0	,0	,100	,0	,21	,6.10,1	,2	,0	,0	,0	,0	,0	,2	,2	,0	,0	,0	,1	,0	,1	,1	,Vasco da Gama,Corinthians,05-Apr-25,False
Dimitri Payet,40,AMC,1	,0	,3	,87.9	,0	,78	,6.98,3	,1	,0	,0	,1	,9	,3	,3	,3	,0	,0	,0	,5	,0	,1	,0	,Vasco da Gama,Corinthians,05-Apr-25,False
Loide Augusto,27,AML,1	,0	,2	,87	,1	,36	,6.18,1	,0	,0	,0	,2	,1	,0	,1	,1	,0	,0	,0	,1	,0	,0	,0	,Vasco da Gama,Corinthians,05-Apr-25,False
Rayan,20,FW,0	,0	,0	,81.8	,0	,16	,5.86,1	,0	,0	,0	,1	,0	,0	,1	,1	,0	,0	,0	,0	,0	,1	,1	,Vasco da Gama,Corinthians,05-Apr-25,False
