minuto,time,tipo,jogador,assist,placar_momento,descricao,Resultado,Data,IdJogo
46,Sao Paulo,18,Sabino,,,Sabino is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
46,Sao Paulo,19,Ferreira,,,Ferreira is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
46,Sao Paulo,18,Wendell,,,Wendell is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
46,Sao Paulo,19,Enzo Díaz,,,Enzo Díaz is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
59,Sport Recife,17,Lucas Lima,,,Lucas Lima recieves a yellow card,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
62,Sport Recife,18,Lenny Lobato,,,Lenny Lobato is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
62,Sport Recife,19,Carlos Alberto,,,Carlos Alberto is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
62,Sport Recife,18,Pablo,,,Pablo is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
62,Sport Recife,19,Arthur Sousa,,,Arthur Sousa is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
69,Sao Paulo,18,Luciano,,,Luciano is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
69,Sao Paulo,19,Lucas Ferreira,,,Lucas Ferreira is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
69,Sao Paulo,18,Marcos Antônio,,,Marcos Antônio is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
69,Sao Paulo,19,Matheus Alves,,,Matheus Alves is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
75,Sao Paulo,18,Jonathan Calleri,,,Jonathan Calleri is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
75,Sao Paulo,19,André Silva,,,André Silva is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
75,Sport Recife,18,Lucas Lima,,,Lucas Lima is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
75,Sport Recife,19,Chrystian Barletta,,,Chrystian Barletta is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
75,Sport Recife,18,Du Queiroz,,,Du Queiroz is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
75,Sport Recife,19,Fabricio Domínguez,,,Fabricio Domínguez is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
82,Sport Recife,18,Hereda,,,Hereda is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
82,Sport Recife,19,Matheus Alexandre,,,Matheus Alexandre is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
90+2,Sport Recife,17,Matheus Alexandre,,,Matheus Alexandre recieves a yellow card,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
90+8,Sao Paulo,18,Alisson,,,Alisson is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
90+8,Sao Paulo,19,Ryan Francisco,,,Ryan Francisco is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
90+10,Sport Recife,18,Igor Cariús,,,Igor Cariús is substituted off,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
90+10,Sport Recife,19,Lucas Cunha,,,Lucas Cunha is substituted on,0-0,"Sat, 29-Mar-25",Sao Paulo x Sport Recife
11,Mirassol,17,Jemmes,,,Jemmes recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
14,Cruzeiro,1,William,,,"William assists a goal (Off the ground, Cross, Long Ball, Key pass, Open play)",2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
14,Cruzeiro,16,Dudu,William,1-0,"GOAL! Dudu scores , Assisted by William (Low to the right, 18-yard box, Big Chance, Right footed, Open play)",2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
22,Cruzeiro,1,William,,,"William assists a goal (Cross, Long Ball, Off the ground, Key pass, Open play)",2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
22,Cruzeiro,16,Gabriel Barbosa,William,2-0,"GOAL! Gabriel Barbosa scores , Assisted by William (Low to the left, 18-yard box, Big Chance, Left footed, Open play)",2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
30,Cruzeiro,17,Matheus Henrique,,,Matheus Henrique recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
33,Cruzeiro,17,Walace,,,Walace recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
